id,Name (Institution or Individual),Startups,Investment Lists,LinkedIn Profile,Company (from Associated Startups),Investor Type,Startup Count,Contacts,Name (from Contacts),Notes
rec9VfNfR9HBqKsS4,Long River Ventures,['rec8q5Gbe38rLHbrd'],"['SW+HW=Innovation (Robotics, Drones)']",,['Ewake'],VC Fund,1,,,
recfxmLbTojbmM1lO,Mass Ventures,['rec8q5Gbe38rLHbrd'],"['SW+HW=Innovation (Robotics, Drones)']",,['Ewake'],VC Fund,1,,,
recyzBctwt6NBVtPY,Firebolt Ventures,['rec8q5Gbe38rLHbrd'],"['SW+HW=Innovation (Robotics, Drones)']",,['Ewake'],VC Fund,1,,,
rec2WJnO9FClvmT7m,Brendan Iribe,['recwnH2HEbWwKDgdC'],['Design Intelligence (CAD)'],,['VNTANA'],Individual,1,,,
rec2QRORXoLHVXJYf,Chloe Capital,['recwnH2HEbWwKDgdC'],['Design Intelligence (CAD)'],,['VNTANA'],Institutional Investors,1,,,
recyZ62ps5HdhZQeD,TYLT Ventures,['recwnH2HEbWwKDgdC'],['Design Intelligence (CAD)'],,['VNTANA'],VC Fund,1,,,
recCoTVq1eKoUq2zy,Forward Deployed VC,['recPGYclmE6h29uY8'],['Streamlined Supply Chain (SCM)'],,['Silkline'],Individual,1,,,
recQ4gxAlLadiIoKl,25 Madison,['recPGYclmE6h29uY8'],['Streamlined Supply Chain (SCM)'],,['Silkline'],Institutional Investors,1,,,
recBnnYojNIb9ozIJ,Plow Ventures,['recPGYclmE6h29uY8'],['Streamlined Supply Chain (SCM)'],,['Silkline'],VC Fund,1,,,
rec4j7G7M2bUuggDj,Matchstick Ventures,['recPGYclmE6h29uY8'],['Streamlined Supply Chain (SCM)'],,['Silkline'],VC Fund,1,,,
recaF62mMS6BBzhH2,Barrel Ventures,['recPGYclmE6h29uY8'],['Streamlined Supply Chain (SCM)'],,['Silkline'],VC Fund,1,,,
reczYVzvMtYAu2LDz,Orano Venture Fund,['recftTc0SJcECws9k'],"['Cognitive Thread (PLM, MBSE, DT)']",,['Dessia'],VC Fund,1,,,
reccrLPxdl4POcgTR,Go Capital,['recftTc0SJcECws9k'],"['Cognitive Thread (PLM, MBSE, DT)']",,['Dessia'],Institutional Investors,1,,,
recW67hGWtMgzpH34,Companyon Ventures,['rec8q5Gbe38rLHbrd'],"['SW+HW=Innovation (Robotics, Drones)']",,['Ewake'],Individual,1,['recf4h8reZwlkr2Ey'],['Firas Raouf'],GP at Companyon Ventures | Early-stage AI & B2B investors focused on the $1M to $100M ARR journey.
recQb3GGbGrLEiTl3,Anticus Partners,['recclqhy1mEeilUHS'],"['Adaptive Manufacturing (AM, CAM, CNC)']",,['Productive Machines'],,1,,,
recJ34SzQSIfKKMcG,Aleph,['recZLjXqtn5X8UyXN'],['Streamlined Supply Chain (SCM)'],,['Jiga'],,1,,,
recFkddrrMfGe0IiS,Symbol,['recZLjXqtn5X8UyXN'],['Streamlined Supply Chain (SCM)'],,['Jiga'],,1,,,
rec3o68koVCxjWdeB,Investissement Québec,['recuv6DgeXnWlbges'],"['SW+HW=Innovation (Robotics, Drones)']",,['Vention'],,1,,,
recozaSYCvM8dIwUE,Desjardins Capital,['recuv6DgeXnWlbges'],"['SW+HW=Innovation (Robotics, Drones)']",,['Vention'],,1,,,
recgJhAqArQ97Na1v,XYZ Ventures,['reccyqLGDAvuXeV2X'],"['Factory Futures (MES, IIOT)']",,['Nominal'],,1,,,
recxPyJXmo80cs448,Overmatch,['reccyqLGDAvuXeV2X'],"['Factory Futures (MES, IIOT)']",,['Nominal'],,1,,,
rec034HO0XAB8DcAP,Fusion Fund,['rec3pSBeGF0DFKOEw'],"['Augmented Operations (MOM, CMMS, AR/VR, SLM)']",,['CVector'],,1,,,
rec1DNRRnCBwzCuZT,family offices,['rec0erZ9yLQ9dkxUq'],['Bleeding Edge BIM (AEC/BIM)'],,['ORIS Connect'],,1,,,
rec1n9PLsRKq75h2B,G2VP,['rec7Uaw0u7fGkWE91'],"['Factory Futures (MES, IIOT)']",,['Fictiv (Acquired by MISUMI in 2025)'],,1,,,
rec1vxhAo7iAE5U0j,AP Ventures,['rec6sAs6BKuJJyQal'],"['Adaptive Manufacturing (AM, CAM, CNC)']",,['General Lattice'],,1,,,
rec6CDrzXyOEpwAJZ,40 North Ventures,['rec7Uaw0u7fGkWE91'],"['Factory Futures (MES, IIOT)']",,['Fictiv (Acquired by MISUMI in 2025)'],,1,,,
rec82ycmdV2tO9X1x,Summit Partners. Bessemer. ScOp VC,['rec3sd3177dRW6TWr'],['Design Intelligence (CAD)'],,['ChipAgents'],,1,,,
rec9ua8xm0QkgzO6N,i4Valley,['rec2clSoNuoxrKmCL'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['FVMat'],,1,,,
recHApsWm2PbeYykE,Finance Yorkshire Growth Fund,['rec0m36ClfqnTJuYX'],"['Cognitive Thread (PLM, MBSE, DT)']",,['Bombiix'],,1,,,
recHFEgVB9GnPZiXb,Archimedes New Ventures,['rec2jnE2eVjXvEqqa'],"['Factory Futures (MES, IIOT)']",,['United Manufacturing Hub'],,1,,,
recLQTWnBlrbK9gdB,Spinout of exentra GmbH,['rec0TFwmXuauC73tw'],"['Cognitive Thread (PLM, MBSE, DT)']",,['explore'],,1,,,
recMgxyIGeYq5FPtc,Lorain County Growth Partnership,['rec3uw9EqGsyRobh6'],"['Adaptive Manufacturing (AM, CAM, CNC)']",,['ABĒMIS llc'],,1,,,
recN2GLWUasHrop92,East coast angels,['rec3iBvkrqRfdbTGK'],"['Cognitive Thread (PLM, MBSE, DT)']",,['Canvas Envision'],,1,,,
recNG67NlRDBbJgjH,DnA Ventures,['rec2jnE2eVjXvEqqa'],"['Factory Futures (MES, IIOT)']",,['United Manufacturing Hub'],,1,,,
recQ167LByYB2vIC1,Garuda Ventures and others,['rec1pUFTPxpd8w2kn'],['Design Intelligence (CAD)'],,['Arena'],,1,,,
recRXF3uM7InnNRLz,imec.istart,['rec4tbXVepmeZP90k'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['Airshaper'],,1,,,
recW1AT5jtWbriEBP,General Catalyst (lead Series A,['rec30mNzF0ceoy5A2'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['PhysicsX'],,1,,,
recWYLyKz08XivE83,MISUMI,['rec7Uaw0u7fGkWE91'],"['Factory Futures (MES, IIOT)']",,['Fictiv (Acquired by MISUMI in 2025)'],,1,,,
recYShVBlNjbuOLSk,Made Smarter Innovation,['rec6ZiWbsHoZwg5Ys'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['Voxshell'],,1,,,
