Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Fiedler Capital,recU4GQXc6B9r4z4w,"Cognitive Thread (PLM, MBSE, DT)",trace.space,1,Institutional Investors,,,,
Lansdowne Partners Austria,recWIgX4pRfjtmpgt,"Adaptive Manufacturing (AM, CAM, CNC)",Generative Engineering,1,Institutional Investors,,,,
David Shapiro,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Individual,,,,
Israeli government,recValXCC0eAekqwS,Design Intelligence (CAD),CustoMED,1,Institutional Investors,,,,
Aardman Animations,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
MassMutual Catalyst Fund,recRtWQzDsbczClOl,"SW+HW=Innovation (Robotics, Drones)",Alloy Enterprises,1,Institutional Investors,,,,
Las Vegas (UNLV),recXEBRKiIplMHT2E,Bleeding Edge BIM (AEC/BIM),AeroAI,1,Institutional Investors,,,,
AI Fund,recVy9LhoGyNIYsAO,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",LandingAI,1,Institutional Investors,,,,
Bridge Bank,recYkDpXJjVoomX7k,"Factory Futures (MES, IIOT)",Divergent,1,Institutional Investors,,,,
George Kaiser Family Foundation,recZuAuPcc9iTA33Y,Bleeding Edge BIM (AEC/BIM),ConXtech,1,Individual,,,,
Columbus Nova Technology Partners,recZuAuPcc9iTA33Y,Bleeding Edge BIM (AEC/BIM),ConXtech,1,Institutional Investors,,,,
Icelandic Technology Development Fund (Rannís),recZLWInYGYIaBqr5,Bleeding Edge BIM (AEC/BIM),Arkio,1,Institutional Investors,,,,
Capital-A,reca2mMdH4S6pgRHH,"Extreme Analysis (CAE, CFD, FEA, QC)",Oorja,1,Institutional Investors,,,,
Griffin Johnson,recZ86YHSbyTc91Fk,"SW+HW=Innovation (Robotics, Drones)",AON3D,1,Individual,,,,
