Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
OpenView Venture Partners,recMK7aXJCora1LQB,"Factory Futures (MES, IIOT)",Paperless Parts,1,VC Fund,,,,
Noetic Psychedelic Fund,recPMYc4qw7IPboXO,"Knowledge Engineering (R&D, Learning)",Merlyn for Education,1,Institutional Investors,,,,
L'ATTITUDE Ventures,recPPOzMr1dAojMoq,"Cognitive Thread (PLM, MBSE, DT)",Allspice.io,1,VC Fund,,,,
Patreon,recNSckcX0MNmwMgz,"Knowledge Engineering (R&D, Learning)",LycheeAI,1,Institutional Investors,,,,
Yuto Nash Nakanishi,recMTewdnv14V4xxC,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",ControlRooms.ai,1,Individual,,,,
Lars Fjeldsøe‑Nielsen,recL43YEluUQiUjKs,"Cognitive Thread (PLM, MBSE, DT)",CELUS,1,Individual,,,,
AE Ventures,recQyC01VNanWsPfv,"Factory Futures (MES, IIOT)",Authentise,1,VC Fund,,,,
IT‑Farm,recNHMUKBX1nbYoBr,"Knowledge Engineering (R&D, Learning)","TopoLogic, Inc",1,Institutional Investors,,,,
University of Nottingham partnership,recOIFJQqwBMz02qx,"Factory Futures (MES, IIOT)",MatAlytics,1,Institutional Investors,,,,
Jeff Horing,recLcHLI6ctm2EU6C,Bleeding Edge BIM (AEC/BIM),GreenLite,1,Individual,,,,
Source Code Capital,recVE5W6nsf7RqHqK,"SW+HW=Innovation (Robotics, Drones)",Mech-Mind Robotics,1,Institutional Investors,,,,
Walsin Lihwa,recVy9LhoGyNIYsAO,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",LandingAI,1,Individual,,,,
GAIL (Gas Authority of India Limited),recS8MoNV9cbjkfJq,"SW+HW=Innovation (Robotics, Drones)",Addverb (acquired by Reliance Retail Ventures Ltd in 2022),1,Institutional Investors,,,,
OCE,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Overview Capital,recUKS2KAJqrCB4zk,Design Intelligence (CAD),Reynko,1,Institutional Investors,,,,
Flat6Labs,recVFr3ofOgSo0Maf,"Adaptive Manufacturing (AM, CAM, CNC)",SeekMake,1,Institutional Investors,,,,
Dov Moran,recVVR4ECULirZ3nG,"Adaptive Manufacturing (AM, CAM, CNC)",LimitlessCNC,1,Individual,,,,
Matt Blodgett,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Individual,,,,
QBIT Capital,recWKfTPM9oZtZJDn,"Adaptive Manufacturing (AM, CAM, CNC)",Manukai,1,Institutional Investors,,,,
Lafayette Group,recVFr3ofOgSo0Maf,"Adaptive Manufacturing (AM, CAM, CNC)",SeekMake,1,Individual,,,,
SignalRank,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Institutional Investors,,,,
Peter Lee,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Individual,,,,
Jalaj Dani,recS8MoNV9cbjkfJq,"SW+HW=Innovation (Robotics, Drones)",Addverb (acquired by Reliance Retail Ventures Ltd in 2022),1,Individual,,,,
J2 Ventures,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,VC Fund,,,,
Innosuisse,recWKfTPM9oZtZJDn,"Adaptive Manufacturing (AM, CAM, CNC)",Manukai,1,Institutional Investors,,,,
Deloitte Ventures,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,VC Fund,,,,
Bosch Ventures,recWwgNKFTLztkKlf,"Factory Futures (MES, IIOT)",Pico MES,1,VC Fund,,,,
Caroline Oberg,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
National Aeronautics and Space Administration (NASA),recUBVrVX9YykFDiq,"Extreme Analysis (CAE, CFD, FEA, QC)",Intact Solutions,1,Institutional Investors,,,,
HSG,recRosbPrcxJNsPFd,"Factory Futures (MES, IIOT)",TDEngine,1,Institutional Investors,,,,
Rebellion Games,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Teik Guan Tan,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,Individual,,,,
Nebular,recU4GQXc6B9r4z4w,"Cognitive Thread (PLM, MBSE, DT)",trace.space,1,Institutional Investors,,,,
Union Labs,recWwgNKFTLztkKlf,"Factory Futures (MES, IIOT)",Pico MES,1,Individual,,,,
Freycinet Ventures,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,VC Fund,,,,
Day One Ventures,recUKS2KAJqrCB4zk,Design Intelligence (CAD),Reynko,1,VC Fund,,,,
AVP (Axa Venture Partners),recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,VC Fund,,,,
Anzu Partners,recWIfUxcXUE7K43n,"Extreme Analysis (CAE, CFD, FEA, QC)",NavierAI,1,Institutional Investors,,,,
Scott Gelb,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
French Tech Toulouse,recV56brqTfwXgXWK,"Cognitive Thread (PLM, MBSE, DT)",Guaeca,1,Individual,,,,
Siqi Chen,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
founders of Airtable,recSVLREj85ksFafe,Design Intelligence (CAD),camfer,1,Institutional Investors,,,,
