Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
DeepTech Ventures,Archilyse (bankruptcy in 2023),1,Bleeding Edge BIM (AEC/BIM),,,,,VC Fund
Dominique Bélanger,Vention,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Ridge Ventures,MaintainX,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,VC Fund
L-Bank,CadAICo,1,Design Intelligence (CAD),,,,,Institutional Investors
Fenton Founders Fund,Five Flute,1,Design Intelligence (CAD),,,,,Institutional Investors
XSeed Capital,Citrine Informatics,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Far Eastern Group,Citrine Informatics,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
August Capital,MaintainX,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Institutional Investors
Edmonton Unlimited,PrototypeHubs (acquired by Prototek Manufacturing in 2024),1,"""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Allison Pickens,MaintainX,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Individual
B&C Holdings,Citrine Informatics,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Koa Labs,Five Flute,1,Design Intelligence (CAD),,,,,Individual
Clarendon Fund Managers,Axial3D,1,Design Intelligence (CAD),,,,,Institutional Investors
Sage,Bench,1,Design Intelligence (CAD),,,,,Institutional Investors
Chris Comparato,MaintainX,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Individual
Calm Ventures,Atomic Industries,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
AME Cloud Ventures,Citrine Informatics,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,VC Fund
DTX Ventures,Atomic Industries,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Altos Ventures,Bench,1,Design Intelligence (CAD),,,,,VC Fund
amaha Motor Ventures,Atomic Industries,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
