Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Chevron Technology Ventures,APERIO,1,"""Factory Futures (MES, IIOT)""",,,,,
Co:Act Capital,H3D,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Omega Venture Partners,aPriori,1,Design Intelligence (CAD),,,,,
Frontier Ventures,Bild,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Texas Momentum,Makistry,1,Design Intelligence (CAD),,,,,
Vista Credit Partners,aPriori,1,Design Intelligence (CAD),,,,,
Zeev Ventures,Imubit,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Bazan Group,APERIO,1,"""Factory Futures (MES, IIOT)""",,,,,
Neff Capital Management and others,Sintavia,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
no verified public funding amounts found,Fainite AG,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
regional VCs,ALFI Technologies,1,"""Factory Futures (MES, IIOT)""",,,,,
Scandinavian deep-tech angels and niche defense/aero pilots.,Forge,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
