Company,Estimated Headcount,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Founded,Market Opportunity,Team & Execution,Technology Differentiation,Funding Efficiency,Growth Metrics,Industry Impact,Competitive Moat,Weighted Score,Score Financial,Customer Signal Score,Est. Revenue by ARR or HC,Weighted Startup Quality Score,ARR Multiple,Estimated Valuation,Funding Floor,Estimated Value Final,ARR per Employee,Annual Burn Proxy,Runway Proxy (Months),Startup Size Category,Capital Efficiency,Runway Quality,Net Burn Level,Financial Confidence
Metafold 3D,15,2023,$1800000.0,$7000000.0,$515200.0,$18000000.0,2021,4.3,4.1,4.1,4.0,4.0,4.0,4.0,4.10,5,8,$0.5M,4,9,$4.6M,$14M,$14M,$34346.7,$3M,3,Small,High,Critical,Moderate,Strong
Leap71,2,2023,$0.1,$0.0,$1000000.0,$20000000.0,2023,4.1,4.3,4.1,4.0,3.6,4.2,4.1,4.09,10,2,$1M,4,9,$9M,$0M,$9M,$500000.0,$0.4M,0,Medium,Medium,Critical,Very Low,Medium
ToffeeX,30,2022,$6831500.0,$6800000.0,$2000000.0,$15000000.0,2021,4.4,3.7,4.2,3.9,4.2,4.1,4.1,4.08,10,2,$2M,4,9,$18M,$13.6M,$18M,$66666.7,$6M,6,Small,High,High Risk,Moderate,Strong
Dive CAE,20,2024,$10000000.0,$10000000.0,$10000000.0,$150000000.0,2022,4.3,4.1,4.0,3.8,3.9,4.3,4.0,4.07,30,2,$10M,4,9,$90M,$20M,$90M,$500000.0,$4M,4,Large,High,Critical,Moderate,Strong
NavierAI,15,2025,$5600000.0,$2000000.0,$1000000.0,$20000000.0,2023,4.4,4.3,4.2,3.5,3.8,3.8,4.0,4.06,10,2,$1M,4,9,$9M,$4M,$9M,$66666.7,$3M,3,Medium,High,Critical,Moderate,Strong
Simr (formerly UberCloud),150,2024,$20000000.0,$20000000.0,$0.0,$50000000.0,2013,4.4,4.0,4.3,3.6,3.6,4.2,4.1,4.06,5,2,$0M,4,9,$0.0M,$40M,$40M,$0.0,$30M,30,Medium,Medium,Comfortable,Very High,Strong
Mecado,10,2025,$0.0,$0.0,$1000000.0,$10000000.0,2023,4.3,3.9,4.7,3.3,3.2,4.0,4.1,4.00,10,2,$1M,4,9,$9M,$0M,$9M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
Boltline,10,2021,$0.0,$0.0,$3000000.0,$50000000.0,2022,4.5,3.7,3.7,4.0,4.3,3.7,4.2,3.99,10,2,$3M,4,7,$21M,$0M,$21M,$300000.0,$2M,2,Medium,Medium,Critical,Low,Medium
Collimator,20,2020,$5000000.0,$5000000.0,$300000.0,$5000000.0,2020,4.4,4.1,3.7,4.0,3.5,3.9,3.7,3.97,5,4,$0.3M,4,7,$2.1M,$10M,$10M,$15000.0,$4M,4,Small,High,Critical,Moderate,Strong
Tensor9,12,2025,$4000000.0,$7000000.0,$0.0,$16000000.0,2022,4.4,3.9,3.7,4.0,4.0,3.5,4.2,3.96,5,2,$0M,4,7,$0.0M,$14M,$14M,$0.0,$2.4M,2,Small,Medium,Critical,Low,Strong
heatshape,8,2025,$250000.0,$250000.0,$120000.0,$10000000.0,2022,4.2,3.5,4.6,4.1,3.2,3.8,3.8,3.96,5,4,$0.1M,4,7,$0.8M,$0.5M,$0.8M,$15000.0,$1.6M,2,Small,High,Critical,Low,Strong
Voxshell,10,2024,$0.0,$700000.0,$1000000.0,$20000000.0,2022,4.3,3.3,4.5,3.9,3.6,3.8,4.2,3.95,10,2,$1M,4,7,$7M,$1.4M,$7M,$100000.0,$2M,2,Medium,High,Critical,Low,Strong
JuliaHub,111,2021,$24000000.0,$24000000.0,$0.0,$0.0,2015,4.2,4.1,4.0,3.4,3.8,4.0,3.9,3.94,5,2,$0M,4,7,$0.0M,$48M,$48M,$0.0,$22.2M,22,Medium,Medium,Healthy,Very High,Strong
"Nullspace, Inc",27,2025,$2500000.0,$500000.0,$2000000.0,$50000000.0,2023,4.8,4.2,4.3,4.0,0.0,4.4,4.5,3.93,10,2,$2M,3,7,$14M,$1M,$14M,$74074.1,$5.4M,5,Medium,High,Critical,Moderate,Strong
Key Ward,13,2024,$1173900.0,$1200000.0,$1000000.0,$20000000.0,2023,4.2,4.2,3.7,3.0,4.2,3.7,4.5,3.89,10,8,$1M,4,7,$7M,$2.4M,$7M,$76923.1,$2.6M,3,Medium,High,Critical,Low,Strong
Volcano Platform,15,2025,$5400000.0,$5400000.0,$6000000.0,$70000000.0,2023,3.9,4.1,3.8,3.9,3.7,3.7,3.7,3.87,20,2,$6M,4,7,$42M,$10.8M,$42M,$400000.0,$3M,3,Medium,High,Critical,Moderate,Strong
Realis Simulation,29,2022,$4000000.0,$4000000.0,$1000000.0,$10000000.0,2019,4.7,3.8,3.8,3.0,3.5,4.0,4.2,3.87,10,2,$1M,4,7,$7M,$8M,$8M,$34482.8,$5.8M,6,Small,High,Critical,Moderate,Strong
Pasteur Labs & ISI,40,2025,$0.0,$0.0,$0.0,$0.0,2021,4.2,3.7,4.3,3.3,3.4,4.0,3.7,3.86,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$8M,8,Small,Low,High Risk,High,Medium
Godela.ai,4,2025,$500000.0,$500000.0,$0.0,$0.0,2025,4.3,3.6,4.3,3.5,3.1,4.0,3.7,3.86,5,2,$0M,4,7,$0.0M,$1M,$1M,$0.0,$0.8M,1,Small,Medium,Critical,Very Low,Strong
Emmi AI,30,2025,$15000000.0,$17000000.0,$1500000.0,$15000000.0,2024,4.4,3.7,3.0,3.5,4.2,4.6,4.5,3.85,10,2,$1.5M,4,7,$10.5M,$34M,$34M,$50000.0,$6M,6,Small,High,High Risk,Moderate,Strong
Diabatix,35,2022,$2360000.0,$2360000.0,$0.0,$0.0,2016,4.0,3.7,4.2,3.6,3.3,3.8,3.7,3.82,5,2,$0M,4,7,$0.0M,$4.7M,$4.7M,$0.0,$7M,7,Small,Medium,High Risk,Moderate,Strong
MaterialsZone,20,2018,$6000000.0,$8000000.0,$4000000.0,$23000000.0,2018,3.9,4.0,3.5,3.9,3.5,3.8,4.2,3.81,10,2,$4M,4,7,$28M,$16M,$28M,$200000.0,$4M,4,Medium,High,Critical,Moderate,Strong
Polymerize,15,2022,$4500000.0,$5000000.0,$2000000.0,$30000000.0,2020,4.2,3.8,3.5,3.0,4.0,4.3,4.0,3.78,10,2,$2M,4,7,$14M,$10M,$14M,$133333.3,$3M,3,Medium,High,Critical,Moderate,Strong
Ballista Labs,10,2025,$0.0,$0.0,$1000000.0,$10000000.0,2024,3.9,3.6,4.1,3.7,3.4,3.8,3.8,3.78,10,2,$1M,4,7,$7M,$0M,$7M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
Fainite AG,6,2025,$0.0,$0.0,$0.0,$0.0,2025,4.1,3.4,4.2,3.6,3.1,3.9,3.6,3.76,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$1.2M,1,Small,Low,Critical,Low,Medium
LatticeRobot,10,2023,$0.0,$2000000.0,$1000000.0,$20000000.0,2023,4.4,3.8,3.2,4.5,3.0,3.0,3.5,3.73,10,2,$1M,4,7,$7M,$4M,$7M,$100000.0,$2M,2,Medium,High,Critical,Low,Strong
Oorja,25,2023,$5000000.0,$5000000.0,$5000000.0,$60000000.0,2016,3.6,4.1,3.4,3.5,3.8,3.9,4.0,3.72,20,2,$5M,4,7,$35M,$10M,$35M,$200000.0,$5M,5,Medium,High,Critical,Moderate,Strong
Fainite AG,3,2025,$0.0,$200000.0,$0.0,$0.0,2025,4.1,3.4,4.2,3.3,3.0,3.8,3.4,3.68,5,2,$0M,4,7,$0.0M,$0.4M,$0.4M,$0.0,$0.6M,1,Small,Medium,Critical,Very Low,Strong
Airshaper,27,2017,$250000.0,$250000.0,$1000000.0,$20000000.0,2017,4.2,3.7,3.7,3.0,3.0,4.1,3.8,3.67,10,2,$1M,4,7,$7M,$0.5M,$7M,$37037.0,$5.4M,5,Medium,High,Critical,Moderate,Strong
Cenos:,35,2022,$0.0,$0.0,$0.0,$0.0,2017,3.7,3.6,3.8,3.4,3.2,3.6,3.5,3.59,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$7M,7,Small,Low,High Risk,Moderate,Medium
Eigen Space Design,6,2025,$0.0,$0.0,$0.0,$0.0,2025,3.8,3.3,4.1,3.0,3.1,3.6,3.4,3.53,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$1.2M,1,Small,Low,Critical,Low,Medium
ReynKo,35,2023,$0.0,$0.0,$0.0,$0.0,2022,4.1,3.2,3.9,3.0,2.8,3.7,3.4,3.51,5,2,$0M,3,7,$0.0M,$0M,$0M,$0.0,$7M,7,Small,Low,High Risk,Moderate,Medium
PlaSiV,10,2023,$0.0,$0.0,$0.0,$0.0,2021,3.6,3.4,4.0,3.2,3.0,3.4,3.3,3.49,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$2M,2,Small,Low,Critical,Low,Medium
Feather Solutions,8,2024,$0.0,$0.0,$1000000.0,$15000000.0,2022,3.8,3.6,4.0,3.0,2.4,3.2,3.5,3.47,10,2,$1M,3,5,$5M,$0M,$5M,$125000.0,$1.6M,2,Small,Medium,Critical,Low,Medium
Vento,35,2023,$0.0,$0.0,$0.0,$0.0,2016,3.7,3.3,3.8,3.2,3.0,3.5,3.3,3.46,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$7M,7,Small,Low,High Risk,Moderate,Medium
Vinci 4D,30,2025,$36000000.0,$46000000.0,$20000000.0,$1000000.0,2023,3.9,3.3,3.0,3.9,3.0,3.6,3.0,3.43,30,2,$20M,3,5,$100M,$92M,$100M,$666666.7,$6M,6,Medium,High,High Risk,Moderate,Strong
HorneSci,2,2026,$0.0,$0.0,$0.0,$10000000.0,2026,3.6,3.0,4.2,3.4,2.6,3.4,3.1,3.43,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$0.4M,0,Small,Low,Critical,Very Low,Medium
Intact Solutions,15,2025,$0.0,$1800000.0,$3000000.0,$70000000.0,2015,4.2,3.3,4.3,0.0,3.9,3.8,3.7,3.32,10,2,$3M,4,5,$15M,$3.6M,$15M,$200000.0,$3M,3,Medium,High,Critical,Moderate,Strong
FVMat,5,2023,$850000.0,$850000.0,$0.0,$0.0,2019,3.2,3.1,3.8,3.7,2.7,3.1,3.2,3.32,5,2,$0M,3,5,$0.0M,$1.7M,$1.7M,$0.0,$1M,1,Small,Medium,Critical,Low,Strong
Vsim,8,2024,$0.0,$24000000.0,$0.0,$0.0,2022,3.6,3.0,3.7,3.2,2.7,3.4,3.1,3.31,5,2,$0M,3,5,$0.0M,$48M,$48M,$0.0,$1.6M,2,Medium,Medium,Critical,Low,Strong
Phasio,8,2023,$2500000.0,$2200000.0,$1500000.0,$15000000.0,2022,3.8,3.7,3.7,3.0,3.5,0.0,3.5,3.22,10,2,$1.5M,3,5,$7.5M,$4.4M,$7.5M,$187500.0,$1.6M,2,Small,High,Critical,Low,Strong
KronosAI,10,2025,$0.0,$0.0,$1000000.0,$14000000.0,2023,0.0,4.1,4.6,3.5,3.6,3.7,3.8,3.18,10,4,$1M,3,5,$5M,$0M,$5M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
CognaSIM,10,2024,$0.0,$0.0,$1000000.0,$15000000.0,2024,4.5,3.7,3.7,0.0,3.4,0.0,3.5,2.90,10,2,$1M,3,4,$4M,$0M,$4M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
LimitlessCNC,20,2025,$4100000.0,$10000000.0,$1000000.0,$25000000.0,2024,5.0,4.5,4.6,4.5,5.0,4.7,4.5,4.69,10,4,$1M,5,12,$12M,$20M,$20M,$50000.0,$4M,4,Medium,High,Critical,Moderate,Strong
Lambda Function,15,2021,$1.0,$1300000.0,$2000000.0,$25000000.0,2020,4.6,4.8,4.2,4.8,3.8,4.5,4.2,4.48,10,2,$2M,4,9,$18M,$2.6M,$18M,$133333.3,$3M,3,Medium,High,Critical,Moderate,Strong
Alloyed,120,2025,$47000000.0,$99000000.0,$20000000.0,$250000000.0,2017,4.5,4.4,4.6,4.0,4.2,4.5,4.5,4.39,30,2,$20M,4,9,$180M,$198M,$198M,$166666.7,$24M,24,Large,High,Comfortable,Very High,Strong
Caracol,85,2024,$13000000.0,$25000000.0,$16000000.0,$80000000.0,2018,4.5,4.3,4.5,4.1,4.3,4.4,4.2,4.36,30,8,$16M,4,9,$144M,$50M,$144M,$188235.3,$17M,17,Medium,High,Tight,High,Strong
CloudNC,112,2022,$45000000.0,$72000000.0,$20000000.0,$500000000.0,2015,4.3,4.5,4.2,3.9,4.0,3.9,4.5,4.20,30,2,$20M,4,9,$180M,$144M,$180M,$178571.4,$22.4M,22,Large,High,Healthy,Very High,Strong
Toolpath,26,2025,$10000000.0,$10000000.0,$2000000.0,$20000000.0,2020,4.6,4.7,3.7,4.5,3.0,3.9,4.5,4.19,10,4,$2M,4,9,$18M,$20M,$20M,$76923.1,$5.2M,5,Medium,High,Critical,Moderate,Strong
DigitalCNC,10,2025,$300000.0,$300000.0,$1000000.0,$10000000.0,2025,4.3,4.0,4.2,3.8,4.2,4.5,4.5,4.17,10,4,$1M,4,9,$9M,$0.6M,$9M,$100000.0,$2M,2,Small,High,Critical,Low,Strong
Dyndrite,36,2024,$1.3,$14000000.0,$10000000.0,$150000000.0,2016,4.5,4.0,4.3,3.7,4.2,4.1,4.1,4.15,30,2,$10M,4,9,$90M,$28M,$90M,$277777.8,$7.2M,7,Large,High,High Risk,Moderate,Strong
Manukai,15,2025,$3000000.0,$4200000.0,$1000000.0,$15000000.0,2023,4.2,4.6,3.7,4.4,4.0,3.7,3.5,4.11,10,2,$1M,4,9,$9M,$8.4M,$9M,$66666.7,$3M,3,Small,High,Critical,Moderate,Strong
1000 Kelvin,14,2022,$3000000.0,$3000000.0,$3000000.0,$10000000.0,2021,4.5,3.7,4.2,4.0,4.0,4.1,4.1,4.10,10,2,$3M,4,9,$27M,$6M,$27M,$214285.7,$2.8M,3,Small,High,Critical,Low,Strong
trinckle 3D Gmbh,45,2022,$3300000.0,$3300000.0,$5000000.0,$35000000.0,2013,3.9,4.2,4.1,4.3,3.8,4.1,4.0,4.08,20,4,$5M,4,9,$45M,$6.6M,$45M,$111111.1,$9M,9,Medium,High,High Risk,High,Strong
STILFOLD,12,2024,$4000000.0,$5000000.0,$7000000.0,$40000000.0,2020,4.4,4.0,4.3,3.4,3.6,4.3,4.1,4.05,20,2,$7M,4,9,$63M,$10M,$63M,$583333.3,$2.4M,2,Medium,High,Critical,Low,Strong
Encycam,35,2024,$0.0,$0.0,$1000000.0,$10000000.0,2020,4.2,4.0,4.2,3.5,4.0,4.3,4.0,4.04,10,2,$1M,4,9,$9M,$0M,$9M,$28571.4,$7M,7,Small,Medium,High Risk,Moderate,Medium
Productive Machines,15,2025,$1300000.0,$3800000.0,$0.0,$12000000.0,2021,4.0,4.1,4.2,3.8,3.9,4.1,4.0,4.03,5,2,$0M,4,9,$0.0M,$7.6M,$7.6M,$0.0,$3M,3,Small,Medium,Critical,Moderate,Strong
Toolkit3D,50,2025,$0.0,$0.0,$1000000.0,$10000000.0,2019,4.1,4.1,4.3,3.5,3.8,4.1,4.1,4.02,10,4,$1M,4,9,$9M,$0M,$9M,$20000.0,$10M,10,Small,Medium,High Risk,High,Medium
up2parts GmbH,52,2019,$600000.0,$600000.0,$10000000.0,$150000000.0,2017,4.5,4.6,3.8,3.0,3.5,3.7,4.5,3.98,30,2,$10M,4,7,$70M,$1.2M,$70M,$192307.7,$10.4M,10,Large,High,High Risk,High,Strong
Generative Engineering,3,2023,$4683600.0,$4360000.0,$1000000.0,$25000000.0,2021,3.5,3.5,4.5,4.4,4.0,4.0,3.5,3.94,10,2,$1M,4,7,$7M,$8.7M,$8.7M,$333333.3,$0.6M,1,Medium,High,Critical,Very Low,Strong
SP3D,30,2025,$620000.0,$2000000.0,$9300000.0,$70000000.0,2018,4.4,3.7,4.0,3.0,4.1,4.3,4.3,3.93,20,2,$9.3M,4,7,$65.1M,$4M,$65.1M,$310000.0,$6M,6,Medium,High,High Risk,Moderate,Strong
QuotationFactory,12,2021,$1500000.0,$1500000.0,$1000000.0,$10000000.0,2018,4.1,4.0,3.9,3.8,3.7,4.0,3.6,3.92,10,2,$1M,4,7,$7M,$3M,$7M,$83333.3,$2.4M,2,Small,High,Critical,Low,Strong
SeekMake,10,2023,$539000.0,$1000000.0,$0.0,$25000000.0,2020,4.5,4.0,3.3,4.0,3.7,3.8,3.8,3.90,5,2,$0M,4,7,$0.0M,$2M,$2M,$0.0,$2M,2,Medium,Medium,Critical,Low,Strong
DigiFabster,34,2020,$0.0,$2300000.0,$5000000.0,$30000000.0,2015,4.2,4.4,3.4,3.5,3.9,3.7,3.5,3.86,20,4,$5M,4,7,$35M,$4.6M,$35M,$147058.8,$6.8M,7,Medium,High,High Risk,Moderate,Strong
ExLattice,25,2023,$20000.0,$370000.0,$2000000.0,$60000000.0,2020,3.9,4.2,4.0,3.0,3.8,3.8,3.5,3.81,10,2,$2M,4,7,$14M,$0.7M,$14M,$80000.0,$5M,5,Medium,High,Critical,Moderate,Strong
General Lattice,6,2021,$1000000.0,$1000000.0,$0.0,$0.0,2018,3.7,3.6,4.0,4.2,3.3,3.6,3.5,3.76,5,2,$0M,4,7,$0.0M,$2M,$2M,$0.0,$1.2M,1,Small,Medium,Critical,Low,Strong
F4 Industries,3,2024,$0.0,$0.0,$1000000.0,$10000000.0,2023,3.6,4.1,3.8,4.0,3.3,3.5,3.4,3.75,10,2,$1M,4,7,$7M,$0M,$7M,$333333.3,$0.6M,1,Small,Medium,Critical,Very Low,Medium
Axial Composites,2,2025,$500000.0,$500000.0,$5000000.0,$20000000.0,2025,3.7,3.4,4.0,4.1,3.6,3.2,3.6,3.70,20,8,$5M,4,7,$35M,$1M,$35M,$2500000.0,$0.4M,0,Medium,High,Critical,Very Low,Strong
Neuramill,3,2025,$0.0,$0.0,$1000000.0,$10000000.0,2025,3.8,3.2,4.0,4.2,3.4,3.6,3.5,3.70,10,8,$1M,4,7,$7M,$0M,$7M,$333333.3,$0.6M,1,Small,Medium,Critical,Very Low,Medium
SelectAM,6,2023,$100000.0,$100000.0,$0.0,$0.0,2020,3.7,3.4,3.6,4.2,3.2,3.5,3.3,3.61,5,2,$0M,4,7,$0.0M,$0.2M,$0.2M,$0.0,$1.2M,1,Small,Medium,Critical,Low,Strong
Matterize,10,2024,$0.0,$0.0,$0.0,$0.0,2024,3.8,3.3,3.8,3.6,3.1,3.7,3.4,3.57,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$2M,2,Small,Low,Critical,Low,Medium
Autodrop3D,6,2019,$500000.0,$500000.0,$250000.0,$10000000.0,2016,3.2,3.7,3.6,4.0,3.5,3.4,3.3,3.56,5,2,$0.3M,4,7,$1.8M,$1M,$1.8M,$41666.7,$1.2M,1,Small,High,Critical,Low,Strong
ABĒMIS llc,10,2021,$25000.0,$25000.0,$1000000.0,$10000000.0,2015,3.9,3.7,4.0,0.0,3.6,3.5,3.5,3.21,10,2,$1M,3,5,$5M,$0.1M,$5M,$100000.0,$2M,2,Small,High,Critical,Low,Strong
Instruct3D,10,2025,$0.0,$0.0,$0.0,$0.0,2024,3.8,4.2,2.0,1.5,3.5,3.8,3.7,3.14,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$2M,2,Small,Low,Critical,Low,Medium
V3D Printing,4,2025,$0.0,$0.0,$1000000.0,$10000000.0,2023,3.1,3.2,2.2,3.7,3.3,3.2,3.2,3.07,10,2,$1M,3,5,$5M,$0M,$5M,$250000.0,$0.8M,1,Small,Medium,Critical,Very Low,Medium
CoLab,70,2025,$72000000.0,$100000000.0,$31800000.0,$750000000.0,2017,4.7,4.7,4.8,4.0,4.3,4.7,3.8,4.53,30,2,$31.8M,5,12,$381.6M,$200M,$381.6M,$454285.7,$14M,14,Large,High,Tight,High,Strong
Uncountable,150,2025,$27000000.0,$33000000.0,$24000000.0,$120000000.0,2016,4.8,4.6,3.7,4.7,4.0,4.6,4.2,4.40,30,2,$24M,4,9,$216M,$66M,$216M,$160000.0,$30M,30,Large,High,Comfortable,Very High,Strong
Makersite Gmbh,170,2025,$64000000.0,$88000000.0,$20000000.0,$150000000.0,2018,4.4,4.5,4.3,4.0,4.4,4.6,4.7,4.38,30,2,$20M,4,9,$180M,$176M,$180M,$117647.1,$34M,34,Large,High,Comfortable,Very High,Strong
SysGit,8,2023,$4100000.0,$4700000.0,$2000000.0,$20000000.0,2019,4.8,4.3,4.2,4.2,3.8,4.4,4.2,4.32,10,2,$2M,4,9,$18M,$9.4M,$18M,$250000.0,$1.6M,2,Medium,High,Critical,Low,Strong
OpenBOM,25,2018,$4000000.0,$4000000.0,$5000000.0,$80000000.0,2015,4.7,4.2,4.5,4.5,3.7,3.8,4.0,4.31,20,2,$5M,4,9,$45M,$8M,$45M,$200000.0,$5M,5,Medium,High,Critical,Moderate,Strong
Elevating Patterns,8,2025,$0.8,$0.8,$1000000.0,$20000000.0,2023,4.6,4.8,4.7,3.5,3.6,4.1,3.7,4.30,10,2,$1M,4,9,$9M,$0M,$9M,$125000.0,$1.6M,2,Medium,High,Critical,Low,Strong
Flow Engineering,18,2025,$23000000.0,$32000000.0,$5000000.0,$50000000.0,2018,4.7,4.2,4.2,4.3,4.4,3.5,4.7,4.29,20,2,$5M,4,9,$45M,$64M,$64M,$277777.8,$3.6M,4,Medium,High,Critical,Moderate,Strong
explore,30,2023,$0.0,$0.0,$3500000.0,$10000000.0,2023,4.2,4.2,4.5,4.0,4.3,4.4,4.1,4.26,10,2,$3.5M,4,9,$31.5M,$0M,$31.5M,$116666.7,$6M,6,Small,Medium,High Risk,Moderate,Medium
EverCurrent,5,2025,$1000000.0,$1000000.0,$1000000.0,$10000000.0,2025,3.9,4.7,4.1,4.4,4.1,4.5,3.7,4.25,10,2,$1M,4,9,$9M,$2M,$9M,$200000.0,$1M,1,Small,High,Critical,Low,Strong
ARYA Labs,12,2024,$2500000.0,$2500000.0,$1000000.0,$12000000.0,2023,4.4,4.1,5.0,4.2,3.8,3.6,3.5,4.25,10,2,$1M,4,9,$9M,$5M,$9M,$83333.3,$2.4M,2,Small,High,Critical,Low,Strong
DGG - The 3D Pipeline Company,20,2023,$4695600.0,$4300000.0,$5000000.0,$40000000.0,2018,4.5,4.1,3.8,4.5,3.5,4.5,3.9,4.15,20,2,$5M,4,9,$45M,$8.6M,$45M,$250000.0,$4M,4,Medium,High,Critical,Moderate,Strong
Allspice.io,36,2025,$15000000.0,$25000000.0,$12000000.0,$150000000.0,2019,4.3,4.3,4.1,4.3,4.2,3.7,3.5,4.15,30,2,$12M,4,9,$108M,$50M,$108M,$333333.3,$7.2M,7,Large,High,High Risk,Moderate,Strong
Istari Digital,200,2025,$27100000.0,$55100000.0,$1000000.0,$10000000.0,2022,4.4,4.5,3.7,3.7,4.0,4.7,3.8,4.14,10,2,$1M,4,9,$9M,$110.2M,$110.2M,$5000.0,$40M,40,Medium,High,Comfortable,Very High,Strong
Bild,25,2025,$3000000.0,$3000000.0,$1000000.0,$10000000.0,2021,4.2,4.3,4.1,3.9,4.2,4.3,3.0,4.11,10,2,$1M,4,9,$9M,$6M,$9M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
Trace.Space,15,2025,$4000000.0,$5500000.0,$2000000.0,$40000000.0,2022,4.2,4.2,3.7,4.3,3.9,4.5,4.1,4.11,10,8,$2M,4,9,$18M,$11M,$18M,$133333.3,$3M,3,Medium,High,Critical,Moderate,Strong
Carbonfact,25,2024,$15000000.0,$17000000.0,$0.0,$15000000.0,2021,4.3,4.0,4.0,3.7,4.1,4.6,4.5,4.11,5,2,$0M,4,9,$0.0M,$34M,$34M,$0.0,$5M,5,Small,Medium,Critical,Moderate,Strong
Dessia,35,2024,$3000000.0,$8500000.0,$3000000.0,$40000000.0,2017,4.5,4.5,3.7,4.0,3.9,3.7,4.0,4.10,10,2,$3M,4,9,$27M,$17M,$27M,$85714.3,$7M,7,Medium,High,High Risk,Moderate,Strong
SPREAD,120,2023,$16000000.0,$16000000.0,$10000000.0,$70000000.0,2019,4.5,4.0,4.0,4.0,4.0,4.0,3.8,4.09,30,2,$10M,4,9,$90M,$32M,$90M,$83333.3,$24M,24,Medium,High,Comfortable,Very High,Strong
Canvas Envision,13,2023,$9000000.0,$14000000.0,$2000000.0,$10000000.0,2016,4.4,4.3,3.5,4.4,4.4,3.7,3.5,4.09,10,2,$2M,4,9,$18M,$28M,$28M,$153846.2,$2.6M,3,Small,High,Critical,Low,Strong
CO2 AI,71,2023,$12000000.0,$12000000.0,$0.0,$0.0,2020,4.5,4.2,3.7,3.4,4.0,4.7,4.5,4.09,5,2,$0M,4,9,$0.0M,$24M,$24M,$0.0,$14.2M,14,Small,Medium,Tight,High,Strong
Propel Software,85,2021,$20000000.0,$46000000.0,$50000000.0,$450000000.0,2015,4.5,3.9,3.7,3.5,4.8,4.3,4.5,4.08,30,2,$50M,4,9,$450M,$92M,$450M,$588235.3,$17M,17,Large,High,Tight,High,Strong
CELUS,100,2022,$29590000.0,$25000000.0,$12000000.0,$150000000.0,2018,4.4,4.6,3.7,4.0,4.0,3.0,4.3,4.06,30,8,$12M,4,9,$108M,$50M,$108M,$120000.0,$20M,20,Large,High,Healthy,Very High,Strong
Cognyx,12,2024,$1700000.0,$1700000.0,$1000000.0,$10000000.0,2024,4.4,4.2,3.7,4.0,3.8,4.2,3.9,4.06,10,2,$1M,4,9,$9M,$3.4M,$9M,$83333.3,$2.4M,2,Small,High,Critical,Low,Strong
Cusp AI,23,2025,$100000000.0,$130000000.0,$7500000.0,$600000000.0,2023,4.7,3.2,4.2,3.5,4.2,4.5,4.5,4.04,20,2,$7.5M,4,9,$67.5M,$260M,$260M,$326087.0,$4.6M,5,Large,High,Critical,Moderate,Strong
AI Materia,50,2020,$30000.0,$0.0,$1000000.0,$10000000.0,2021,4.2,4.1,3.7,4.0,4.0,4.3,3.5,4.01,10,2,$1M,4,9,$9M,$0M,$9M,$20000.0,$10M,10,Small,Medium,High Risk,High,Medium
Cerebital (Nora IPLM),15,2022,$0.0,$0.0,$1000000.0,$10000000.0,2022,4.1,4.1,4.2,4.2,3.7,3.5,3.5,4.01,10,4,$1M,4,9,$9M,$0M,$9M,$66666.7,$3M,3,Small,Medium,Critical,Moderate,Medium
Sibe.io,25,2022,$0.0,$700000.0,$1000000.0,$10000000.0,2022,4.4,4.0,3.7,4.2,4.0,3.6,3.5,3.99,10,2,$1M,4,7,$7M,$1.4M,$7M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
IntuitgenceAI,19,2025,$10000000.0,$10000000.0,$0.0,$0.0,2024,4.3,4.1,3.9,3.9,3.7,3.2,4.7,3.97,5,2,$0M,4,7,$0.0M,$20M,$20M,$0.0,$3.8M,4,Small,Medium,Critical,Moderate,Strong
Violet Labs,28,2022,$4000000.0,$4000000.0,$1000000.0,$10000000.0,2020,4.4,3.9,3.7,4.5,3.8,3.0,3.8,3.95,10,2,$1M,4,7,$7M,$8M,$8M,$35714.3,$5.6M,6,Small,High,Critical,Moderate,Strong
Foundation EGI,30,2025,$23000000.0,$23000000.0,$0.0,$0.0,2023,4.3,3.9,4.2,3.5,3.5,4.0,3.8,3.95,5,2,$0M,4,7,$0.0M,$46M,$46M,$0.0,$6M,6,Medium,Medium,High Risk,Moderate,Strong
"PRISM by Things, Inc.",20,2023,$2026406.4,$2000000.0,$2000000.0,$10000000.0,2019,4.0,4.2,3.8,3.9,3.9,3.6,3.8,3.93,10,2,$2M,4,7,$14M,$4M,$14M,$100000.0,$4M,4,Small,High,Critical,Moderate,Strong
